group;nurse;hr_rate;eda;class;time
3;1;0.218003247959546;81.25;LAHV;7:27
3;2;0.5096879098340449;74.17;LAHV;7:27
3;3;0.2871302183061749;92.87;LAHV;7:27
3;1;0.2310185852640191;81.43;LAHV;7:30
3;2;0.5458189778430773;75.37;HAHV;7:30
3;3;0.27392773295054795;91.48;LAHV;7:30
3;1;0.17326409772585677;85.23;HAHV;7:43
3;2;0.502613274432272;79.38;HALV;7:43
3;3;0.21452041450082843;90.52;LAHV;7:43
3;1;0.18627879991895982;87.23;LAHV;7:50
3;2;0.5263761056274837;80.37;HALV;7:50
3;3;0.20792046037321563;91.97;LAHV;7:50
3;1;0.18139796904086122;92.85;HAHV;8:6
3;2;0.47407432972104163;89.33;HAHV;8:6
3;3;0.21452041450082843;88.6;LAHV;8:6
3;1;0.17407704027939822;93.22;HAHV;8:7
3;2;0.45992505891749574;89.78;HAHV;8:7
3;3;0.16171562727912303;88.23;HAHV;8:7
3;1;0.15699508487310793;94.08;LAHV;8:9
3;2;0.4525977931823336;90.7;HALV;8:9
3;3;0.3003301265614007;87.53;LAHV;8:9
3;1;0.20742864364980726;96.57;LAHV;8:24
3;2;0.42227801169475315;97.25;HALV;8:24
3;3;0.21452041450082843;82.52;LAHV;8:24
3;1;0.2236976565025561;95.77;LAHV;8:29
3;2;0.46472582410539076;98.2;HALV;8:29
3;3;0.23102416547046253;81.35;HAHV;8:29
3;1;0.252230669909122;89.75;HAHV;8:44
3;2;0.3123069034541922;99.87;HALV;8:44
3;3;0.19801924063159568;76.78;HAHV;8:44
3;1;0.2823285977312553;83.92;LAHV;8:53
3;2;0.3087696843599933;101.78;HAHV;8:53
3;3;0.2805276870781608;73.68;LAHV;8:53
3;1;0.2668731625434178;79.67;LAHV;9:0
3;2;0.30599035626596194;101.15;HAHV;9:0
3;3;0.14851571902389743;72.67;LAHV;9:0
3;1;0.27500703385842223;77.33;HAHV;9:5
3;2;0.32468756471063864;100.97;HAHV;9:5
3;3;0.06930596109093815;73.85;HAHV;9:5
3;1;0.3051049616805555;72.55;HAHV;9:14
3;2;0.2996059676767278;100.37;HALV;9:14
3;3;0.12211332541304473;75.88;HAHV;9:14
3;1;0.2953432999243583;70.63;HAHV;9:32
3;2;0.23290229063335072;101.03;HALV;9:32
3;3;0.23102416547046253;84.57;HAHV;9:32
